c1,c2
361469,0.210234906
368850,0.21648954
354973,0.219516087
359793,0.221897956
351456,0.22437068
357301,0.224475176
353017,0.225875473
355810,0.225875473
365533,0.225875473
355991,0.225875473
367531,0.225875473
370819,0.226930581
352238,0.229083936
356817,0.229317291
351464,0.229317291
367282,0.229521649
365885,0.229820242
368364,0.230845385
369170,0.230845385
371645,0.231050696
361623,0.231507346
369379,0.232181729
373409,0.232423686
352862,0.233588979
374475,0.233588979
361219,0.233588979
352451,0.233588979
361486,0.234098453
373128,0.234239683
352824,0.234239683
350824,0.237113077
358932,0.237495364
359112,0.238886396
353943,0.239078465
361299,0.239179593
362199,0.239336733
373178,0.240637257
350177,0.240910723
366559,0.240997499
362201,0.243122788
372603,0.243219432
361836,0.243219432
373154,0.24461093
352007,0.245981126
354768,0.245981126
356826,0.247798718
363603,0.248350445
353165,0.249149707
361448,0.249149707
372345,0.249262034
366294,0.249603725
372359,0.25047846
365902,0.25059412
356460,0.250766956
354652,0.250766956
371443,0.251959507
371821,0.252860353
362109,0.253247941
374225,0.253936938
368545,0.254291123
374018,0.254463386
361199,0.254463386
372950,0.254463386
366949,0.254463386
352787,0.254682748
373319,0.254682748
374029,0.254946552
372316,0.256103362
372256,0.256103362
367877,0.256221066
361913,0.257189617
359049,0.257189621
362165,0.257197865
368961,0.25812047
357868,0.258245279
360501,0.258245279
357569,0.258245279
364894,0.259363394
370760,0.259743631
353438,0.260073559
351735,0.26042174
371179,0.260977763
362796,0.261041992
351559,0.261393446
356123,0.261405705
365679,0.261517047
362383,0.261517047
358069,0.261517047
370639,0.261517047
355520,0.261517047
367082,0.261517047
369879,0.261517047
367036,0.261517047
364911,0.263062326
363644,0.263062326
362147,0.263062326
362503,0.263186434
366970,0.263186434
373279,0.263186434
368927,0.263186434
350764,0.263186434
353356,0.263186434
366245,0.263186434
358495,0.263186434
367777,0.263186434
364694,0.263186434
369054,0.263186434
361619,0.263186434
350352,0.263186434
365954,0.263186434
351561,0.26324739
359062,0.263384596
365423,0.263684818
366035,0.263728049
361280,0.263728049
374229,0.263909315
359005,0.264067356
350190,0.264067356
350983,0.264067356
355242,0.264067356
371877,0.264067356
354372,0.26453874
373263,0.264926988
374230,0.265203447
365330,0.265203447
360755,0.265203447
361781,0.265203447
360124,0.265203447
370905,0.265203447
367534,0.265406478
367791,0.265406478
367349,0.265406478
354941,0.26543059
355056,0.26543059
364585,0.26543059
363037,0.26543059
366461,0.26543059
355015,0.26543059
354686,0.265555414
358686,0.265555414
361694,0.265555414
365312,0.265555414
368205,0.265555414
354114,0.265555414
370963,0.265555414
357746,0.265555414
370394,0.265555414
360746,0.265555414
353843,0.265555414
355086,0.265555414
360836,0.265555414
354622,0.265555414
359123,0.265555414
354378,0.265555414
365874,0.265555414
371290,0.265555414
357969,0.265555414
354533,0.265555414
355166,0.265555414
359566,0.265555414
353724,0.265555414
351120,0.265555414
353617,0.265555414
356828,0.265555414
370295,0.265555414
362245,0.265555414
350778,0.265555414
368443,0.265555414
350187,0.265555414
370136,0.266582654
366374,0.266875438
364118,0.266887862
353439,0.266980704
359374,0.266980704
356480,0.267000695
351552,0.267000695
360934,0.267000695
357478,0.267000695
371289,0.267000695
367330,0.267000695
370383,0.267000695
358409,0.267000695
365321,0.267000695
369987,0.267000695
367250,0.267000695
367964,0.267000695
359184,0.267000695
371838,0.267000695
354182,0.267000695
364004,0.267115924
352678,0.267115924
366804,0.267115924
351355,0.267115924
353268,0.267115924
352745,0.267156999
357539,0.267241251
368895,0.267241251
373509,0.267241251
352729,0.267241251
365449,0.267241251
365804,0.267241251
354457,0.267241251
363001,0.267241251
352616,0.267241251
356295,0.267241251
366568,0.267241251
366714,0.267241251
353690,0.267241251
351357,0.267241251
366898,0.267241251
352633,0.267241251
354688,0.267241251
358655,0.267241251
355993,0.267241251
354732,0.267241251
368482,0.267241251
355172,0.267241251
350198,0.267241251
354770,0.267241251
371628,0.267241251
355212,0.267241251
360057,0.267250547
358719,0.267309553
350127,0.267309553
361127,0.267309553
362805,0.267309553
364779,0.267309553
353126,0.267441358
355644,0.267441358
359632,0.267441358
368656,0.268566592
356557,0.26867228
363316,0.268692351
358809,0.268692351
363310,0.268692351
372257,0.268692351
360062,0.268692351
370273,0.268919554
363826,0.269002448
351231,0.269002448
361308,0.269002448
355774,0.269002448
366646,0.269002448
370066,0.269002448
367404,0.269134781
365213,0.269134781
370240,0.269134781
368855,0.269241156
372102,0.269241156
371323,0.269241156
350118,0.269241156
370432,0.26924915
358996,0.26935718
372296,0.269584958
351063,0.269584958
355271,0.269592445
361524,0.270052207
364924,0.270592365
372513,0.27094176
355183,0.270991008
360859,0.270991008
372525,0.270991008
361043,0.271092655
368897,0.271092655
365340,0.271092655
373051,0.271092655
352122,0.271092655
369429,0.271092655
355909,0.271092655
354942,0.271092655
359304,0.271321135
351078,0.271321135
352136,0.271321135
363343,0.271321135
350237,0.271321135
350719,0.271404495
365868,0.271404495
372910,0.271404495
358592,0.271404495
352372,0.271404495
365453,0.271404495
360127,0.271404495
350525,0.271404495
352676,0.271404495
350246,0.271404495
367047,0.271404495
353234,0.271404495
367675,0.271404495
359485,0.271404495
363991,0.271404495
370561,0.271404495
357133,0.271404495
353685,0.271404495
357704,0.271404495
360059,0.271404495
353050,0.271404495
350521,0.271586458
352412,0.271586458
369284,0.271650201
370636,0.271986438
353945,0.272588296
357014,0.272673624
364771,0.272673624
373079,0.272673624
356950,0.272673624
350441,0.272786141
361621,0.272800588
350476,0.272800588
361063,0.272800588
351468,0.272800588
352013,0.272800588
372214,0.272800588
363585,0.272800588
373254,0.272800588
354532,0.272800588
371480,0.272800588
358271,0.272800588
367882,0.272869782
371286,0.272869782
353135,0.272869782
355367,0.272869782
368670,0.272869782
356918,0.272869782
372109,0.272869782
361664,0.272869782
350069,0.272978961
363319,0.273003307
363990,0.273003307
362890,0.273029969
366146,0.273029969
359363,0.273029969
363901,0.273106015
369407,0.273113656
370994,0.273113656
359375,0.273113656
369502,0.273113656
362205,0.273113656
360200,0.273113656
353686,0.273113656
351612,0.273113656
357120,0.273113656
373777,0.273113656
355739,0.273113656
354119,0.273113656
372075,0.273113656
375002,0.273113656
356396,0.273113656
365206,0.273113656
369783,0.273113656
351156,0.273113656
370738,0.273113656
366563,0.273113656
364125,0.273113656
350709,0.273113656
372131,0.273330283
369070,0.273992142
362847,0.273992142
352845,0.273992142
355555,0.274373211
367274,0.274500725
364165,0.274558169
354139,0.274584694
367530,0.274584694
369796,0.274713053
359707,0.274944019
367852,0.274944019
351471,0.275154369
355518,0.275182325
374553,0.275182325
365557,0.275405362
366648,0.276933269
350454,0.276933269
371851,0.27699313
354630,0.27699313
365393,0.27699313
372529,0.277017697
365232,0.277017697
366826,0.277017697
357636,0.277017697
373326,0.277017697
365999,0.277017697
367146,0.277050514
360695,0.277084768
353767,0.277098308
354094,0.277098308
364103,0.277098308
366807,0.277201992
362409,0.277433661
363415,0.277433661
352072,0.277596747
354168,0.277596747
360126,0.277596747
351555,0.277596747
355737,0.277596747
354546,0.277596747
359500,0.277596747
366814,0.277596747
370346,0.277596747
353755,0.277596747
356743,0.277916835
362300,0.278052041
361190,0.278663931
352164,0.278720409
371477,0.278740945
352485,0.278748683
370558,0.278748683
365781,0.278748683
373176,0.278748683
362512,0.278748683
352716,0.278748683
370425,0.278748683
356313,0.278748683
370429,0.278829604
370747,0.278829604
357938,0.278829604
374235,0.279129549
367932,0.279332208
358067,0.279903193
367570,0.279903193
361062,0.279903193
361298,0.28008397
372321,0.28026034
353132,0.280652711
352874,0.280655044
354803,0.280655044
366711,0.280956349
366800,0.281285636
361529,0.281285636
351462,0.281285636
368589,0.281285636
363302,0.281285636
358417,0.281285636
359563,0.281285636
358407,0.281285636
354432,0.281285636
370371,0.281645187
356221,0.282210239
358676,0.282210239
374453,0.282260893
369684,0.282616564
363105,0.282670313
373162,0.282691277
369079,0.282783565
359512,0.282783565
372406,0.283032851
352019,0.283032851
370884,0.283032851
355729,0.283032851
354734,0.283032851
358493,0.283032851
357248,0.283032851
366560,0.283032851
373111,0.283032851
353101,0.283032851
353503,0.283032851
367231,0.283032851
365349,0.283032851
352377,0.283032851
365217,0.283288223
368810,0.283522983
358065,0.283522983
352416,0.283522983
367350,0.283522983
352790,0.283749185
367844,0.283749185
364412,0.283960928
366446,0.284116248
350104,0.284116248
366724,0.284116248
374934,0.284116248
355050,0.284116248
354800,0.284116248
365659,0.284214498
374489,0.284344736
353929,0.284344736
350536,0.284361086
368853,0.284491365
356833,0.284491365
361194,0.284536401
367406,0.284536401
372003,0.284605182
371005,0.284710724
355134,0.284737881
359983,0.284737881
358072,0.284737881
364391,0.284737881
367353,0.284737881
365333,0.28481484
352535,0.285112227
365805,0.285492671
359068,0.285551498
366002,0.285619176
360935,0.285743394
366821,0.285786217
352319,0.285945258
357253,0.286082664
354524,0.286165269
358685,0.286450216
373542,0.286699105
358901,0.286787008
355554,0.286787008
363527,0.286787008
355344,0.286830025
359854,0.286917952
372015,0.286917952
356035,0.286917952
372325,0.286917952
355168,0.286997592
352537,0.287022694
361785,0.287022694
369669,0.287022694
370531,0.287022694
365539,0.287022694
357153,0.287022694
364804,0.287022694
