,target
0,0.02114878679890973
1,0.019123330866526785
2,0.07176522229485177
3,0.8562923852707813
4,0.046277073224105736
5,0.006984121351226071
6,0.030266547255815422
7,0.0038789044919425213
8,0.0036649930420315844
9,0.13480765895297656
10,0.04299531114310523
11,0.10712401847711983
12,0.21437085114548507
13,0.9319220260012995
14,0.15570634461619032
15,0.2658578201384245
16,0.0061151970154270045
17,0.03645334094923871
18,0.06316199773310682
19,0.056526801133876176
20,0.10251252171350508
21,0.18371563200456656
22,0.00523768348739171
23,0.1215835502238268
24,0.14013797589039118
25,0.0027738717186064086
26,0.04574127656233462
27,0.039875817050991136
28,0.9466650729946584
29,0.03652709924165997
30,0.07681437234521357
31,0.8647251497466735
32,0.837974740574967
33,0.20783090420461856
34,0.07036765250792429
35,0.09326505012702235
36,0.1811496770063197
37,0.0070992168054966175
38,0.01360435058591277
39,0.02486775517183502
40,0.09258204660490943
41,0.9297031515368072
42,0.1289924832965578
43,0.8705851873167877
44,0.04591678586420163
45,0.004387066397616184
46,0.01176686855617221
47,0.00300658839049699
48,0.02252007866914011
49,0.0016663089094279121
50,0.00369007079574329
51,0.021246611313186895
52,0.06086903067803686
53,0.040277259489146525
54,0.01326166498868083
55,0.03189804580209296
56,0.006211111466916396
57,0.01469860223150697
58,0.003340215814648597
59,0.011574449525226526
60,0.003576801322492285
61,0.00999045141367793
62,0.02998705448433297
63,0.003946328470600462
64,0.03574179795274641
65,0.0036208067873830132
66,0.0023863203079206564
67,0.024012265492802196
68,0.026231710972453318
69,0.016212558594756808
70,0.00768938177787689
71,0.06088974990891382
72,0.10579029133361412
73,0.25453011696297806
74,0.002341710471898602
75,0.03475489764312393
76,0.00397362065971978
77,0.10538011087467614
78,0.1722786768832649
79,0.09048770915411226
80,0.01213274073652578
81,0.007263891293079872
82,0.09934988140696432
83,0.07628673550851968
84,0.12600549255270443
85,0.05286442667761845
86,0.00369184515483761
87,0.0775143137827917
88,0.003010318894820771
89,0.00943317420266938
90,0.17425641491690894
91,0.11158885845822182
92,0.015119590115536364
93,0.020811056756078194
94,0.024617837652366456
95,0.2611222901523309
96,0.2631549591047001
97,0.8031129172868017
98,0.06743224219389866
99,0.002144714245010916
100,0.0035925707339741503
101,0.013399776114547431
102,0.7729514141121743
103,0.04424021343543439
104,0.059697721814892954
105,0.05450204839686586
106,0.7736618207390936
107,0.01622936049356015
108,0.11714522447366145
109,0.13557877166790744
110,0.04506618503234363
111,0.7975078713532078
112,0.10558901729761953
113,0.10926576275015285
114,0.013160467776365991
115,0.21351173680438065
116,0.1768709382767495
117,0.22163949690620824
118,0.3012873666299105
119,0.8359424689312045
120,0.17042387956780175
121,0.21134232811707335
122,0.07325513058945118
123,0.036283237625585496
124,0.0013942750750936986
125,0.02576224781509081
126,0.012107448405067146
127,0.003095308987829869
128,0.06004210550086228
129,0.033030234257525215
130,0.046536487116219404
131,0.04588317472148301
132,0.006322000766968304
133,0.0047665666919142185
134,0.002262523204232775
135,0.0041233038186862065
136,0.1134786168631806
137,0.002663488382604283
138,0.004273995958699008
139,0.006796244868289509
140,0.005500023079997059
141,0.08054252565858507
142,0.016293946331188924
143,0.11196194660797339
144,0.005611946942458438
145,0.0030794418986176135
146,0.032015846544473286
147,0.032850681484381763
148,0.009910181798451117
149,0.769280562935048
150,0.8490763733843755
151,0.0020981917968022107
152,0.03346474643060695
153,0.016890239517830117
154,0.910793274576148
